Address,Return amount
0x000000000004444c5dc75cB358380D2e3dE08A90,1.5007775375678918e-06
0x0000073cAcA8A9639D5bCc47B35E75cBFa8Ce444,7.94528356558825e-09
0x00000F91109c4d0007e90000D9facAD5298A0CAc,4.059677022760754e-09
0x0019E88390862591733C9bA564Dc749a04Cdd7d4,0.0005463385398086138
0x00638BdFEd063b5E5e208050DC77c1cBba00aE1f,8.655483522438046e-07
0x0078f290838ee72228944A716145AAD0F2a384d5,0.00013232565671351666
0x0083796A40Ea3Ece700ac8165c1c7abbD2fBfd28,5.183484568593568e-06
0x0086Fe938a0b4bb2952e31fC76328Cfdf7E154Db,5.972489358962789e-05
0x00C7112072edfbfEAa963df137c90085E46384Bd,2.4365305938085148e-06
0x00C93B1dD2df624C69bF08ECce401ee5Fcc8B28c,2.7419169689626878e-06
0x00D177b0eDd254f89029029B44434501A28E6b24,0.00017136613917814657
0x00D6b664FA3983Fb08Ce1C94708Ef21A18Fb5b60,1.9269911180517585e-06
0x00F11FbAb0f13Ef2237332750db8c91A5AC5B16C,1.5225773119996732e-07
0x00F884B294766D858DB5c7cF70a806820a8d15F0,7.466804932158048e-07
0x00a36bF34C91e0f240b287fA1fb510a0B0479fF9,0.0016961369111958193
0x00aDfEEE46683c4c457D64848F45ed70BE0f6235,9.568737934381759e-07
0x00d58eeBb6925890aeE45dE3952eDf86Fa0e0291,0.015581053467380519
0x00fF97F9467A41fE1BA90142dBa92B46E88E80F2,2.480796912200788e-07
0x01053663b47987Fb76B1D25c563902a6Cc9EFF74,7.054769451471081e-06
0x0106B2ca526FAdAf60b74ee285ee25Ddac5109Cc,0.0005927863333285955
0x014b2a6384051130365A91538fED66054c0A109A,1.955814365365568e-06
0x018E632e4B19482C5D845958ED542Fd9fEb11fD6,5.969791816038156e-07
0x019C8A3d7cc1D2e562deE251a1A63A3840859Ba8,3.7298786613010706e-07
0x01C5063F21DEF1Ea78728303Fb07c31B0375a2b1,5.459771129675624e-07
0x02345B74b344B95AA587cA57696a4270B22b4C06,4.570345436771787e-06
0x02641Cd9E370976387b5806Ff273B47e0200F102,1.9361809846045113e-07
0x0265d288781BF811C34632Ae62d469C3115674DC,2.7180658785489336e-07
0x028DEf8b194231e8367E1a699583113286F8C3e1,3.3648192027382315e-06
0x0292a83c42F2cC7142F123C269cc598C16A6876D,9.230763673032628e-07
0x029974545315AECdC21650B17Fc16f5B331BC817,0.05068231887032201
0x02Cb9a3818599f91589b07CA34A80D39512C4f9d,4.8711679382313565e-06
0x02FBFec3e97aeBE3854eA7bb0336884c46906420,3.879523153886708e-06
0x030227b960C2645ecf10dbd0594C488d947379fd,1.1494594260822748e-06
0x030aFd86Ac470804b3534bE0Fba31Ab597b49b32,0.00030570859005173964
0x0315840Bd98a8279838a7AD799adde5DdA1fCebA,0.10355412551753117
0x0321e89a7B9484f47e8CCD4daF97Ee8066783c04,1.5778844672636184e-05
0x033d815f4FB30B2459A396E004C5A7EcFE30Ec39,0.00012488675657672615
0x036946f917076119Dc6a221F8ad587938CBf14d3,1.5015888430043282e-06
0x03798db6D40e5C4271186076969c471169907661,5.7103345715583806e-06
0x037b2BccDcC3EBfF4012e9702De03b6eA25E807a,1.819618316923896e-05
0x038133fAc8Ee9888526071a52AeEd90D0b3908a1,1.7058216834526861e-07
0x038fBB1CCfD4A56Aa593Ac94a2E95066b07C2070,6.414294842731895e-07
0x039C1843818e3a744A9c7372f503922f83623707,7.044969728242118e-07
0x03DBE3d929071380A888211097Af1E239DA40e71,4.8622354142800856e-06
0x03ab3de1aA360345722DD9DA808C876fFe27006e,2.128940365205531e-07
0x03c8f19C3C28dA2C5C58ac561C05230355993bB8,1.5971776662688047e-05
0x03f50Fd3a6703BFfc1FB1880b1bd9e29853cB7D2,1.0219933476066694e-06
0x040e43b011516e4Ad6760D8b837f2684097e92b1,5.490683634670655e-07
0x042e8EeA486B02D7627809Ab235Ab260A64F29B4,2.7591245903990476e-05
0x047D32d5F0Cd30a3173b3783824916c8c89A20d4,5.528040675490884e-07
0x0499dc21e70D191ad00887c29a912f79c0d73B08,6.070578201624665e-07
0x04E94b6872f3407B64049917C67894384D4638dC,0.017429773918910343
0x0506D63448201d3550bA7A97A4f38f25F126E123,1.8136801386454256e-06
0x0509139d253E3a54115469eFd6b28289F1030499,1.6783825191382246e-07
0x05096597eBc29bDE93adE9853ec985Cc6fC65109,1.4463744414608749e-05
0x0528736e8C49d92ad78C448d4d6Ca959cE7a6036,1.0777592878796957e-06
0x05339C7b0d5B5110e013873CD4f0E69810bf1c75,8.527345311839334e-07
0x055eC6C49418e63C4ADb9E450B24DDEfe90A49E1,7.83757607128172e-08
0x05641532653f1A9eA6ac258Fc73A5A3A566a3235,1.483639994390431e-06
