market,symbol,user,max_pos,avg_pos,pnl_lt_redem,pnl_gauge_redem,pnl_lt_pps,pnl_gauge_pps,yb_received,yb_value_crvusd,yb_value_in_asset,net_pnl_redem,net_pnl_pps,addr_type,has_rescue,is_proxy_likely
3,WBTC,0x196a2a9a22c2fd8f5107e97df9ad14a23e81982b,137.124736047515,132.67382552303815,-0.02404757418079132,-5.0744677146981445,0.009951026777099779,-4.970644089540744,1908763.740352884,598184.5642611065,6.975325912372546,1.8768106234936104,2.014632849608902,EOA,false,false
3,WBTC,0xc51c8e4cfb7fb969dae4b10052a1bb6d15fcd96b,137.06514094044664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,false,false
3,WBTC,0xe862bc39b8d5f12d8c4117d3e2d493dc20051ec6,131.96660465156782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,false,false
3,WBTC,0x63e328e7808c34a2edbda15a2b4ff68afd89d8e7,71.0244262756613,31.53198315677603,0.00017641910001884608,-0.7066676735543022,0.0001858567537034813,-0.6882905445278531,209486.17265920417,28421.405051437257,0.39371058280675203,-0.31278067164753126,-0.29439410496739754,EOA,false,false
3,WBTC,0x8a25d8c9fa8c7a726137f2d618d85cbc2c083f78,51.30897792302018,51.21907569831849,0.08990222470169287,0.0,0.1034243670710196,0.0,0.0,0.0,0.0,0.08990222470169287,0.1034243670710196,EOA,false,false
3,WBTC,0x160f6ef9fcdde6ff3febc7a57edbfd476a8aab5b,42.174709557788155,38.283368597464744,0.0,-1.6932110647905625,0.0,-1.5112576599288385,584440.877058915,137904.7024970651,1.5211851466494266,-0.17202591814113588,0.009927486720588075,EOA,false,false
3,WBTC,0xeabd4a433d9bd08ddbb086503b18bbe2dd51a414,30.124371233795948,28.028027874500207,0.6177552987654055,-0.7709553011393314,0.21579307119849608,-0.3808904239074415,245448.9914990012,87960.99380489443,1.0086017841900383,0.8554017818161124,0.8435044314810929,EOA,false,false
3,WBTC,0x49db86cd04a63649ef9f9905963baef7dad0c9bc,24.530925764698683,23.760563426537903,0.1515652642231745,-0.8349176433026132,0.11027999143048065,-0.8240130166333415,198018.67549578534,28613.034102175796,0.40212912406691714,-0.28122325501252154,-0.3116039011359437,EOA,false,false
3,WBTC,0x7421c1ed16b400e4868ce696452c3c985f8cd04d,24.469816068041215,10.231624973514046,0.08071593288039246,-0.28670344136176923,0.05070199659801717,-0.30039596823011944,110047.92783061517,25558.98871239252,0.30304753311263394,0.09706002463125718,0.053353561480531664,EOA,false,false
3,WBTC,0x0d6b672feab312ce817b689c94e87ba4f0eb56d2,18.98222011139692,17.961081193498458,-0.10635297688301641,-0.2765346908107932,-0.07936519783561696,-0.15195266854210254,118742.5853298402,31709.990377545295,0.372929512755787,-0.009958154938022601,0.1416116463780675,EOA,false,false
3,WBTC,0x924cafec4f967be5df085ad94d8d50574f9a2bb0,17.65276035599898,17.15864314181881,0.514811620485414,-0.13748670390921258,0.5026513913815486,-0.13824226709751125,3972.616350389985,1762.5332961843378,0.019037220380677823,0.3963621369568792,0.38344634466471517,EOA,false,false
3,WBTC,0xb89ad8f6bcebd8d3c3cff4fee94aeb3da0ef6efd,17.486710792214318,15.486299997928183,0.0,0.2841979563524464,-4.792778444911643e-7,0.05352602008000107,0.0,0.0,0.0,0.2841979563524464,0.05352554080215658,EOA,false,false
3,WBTC,0xedc66382f1e7fe11c259761cbddbdcb995bf472e,13.811242844650401,13.804255586545978,1.0331089345423432,0.0,0.12908480836795824,0.0,0.0,0.0,0.0,1.0331089345423432,0.12908480836795824,EOA,false,false
3,WBTC,0xb24d671f0c7bef757412897ef60013040185c6fa,11.35635213881736,9.042351821774094,0.00035240866265162267,-0.2216271238530361,-0.00001345376105720483,-0.347828693379576,136340.17919441103,34979.54256262294,0.4225259087541182,0.20125119356373375,0.074683761613485,EOA,false,false
3,WBTC,0xebaf493dfd35c0f535f19c2695fcce7008239047,11.33028322683638,8.028435513217016,0.013925346257589266,-0.006320116715985087,0.006125027516484655,-0.002451908407883652,19435.06852707834,6896.223366936841,0.07617001401310586,0.08377524355471004,0.07984313312170686,EOA,false,false
3,WBTC,0x3df8669d6350dbb256bb4972d6c6f86efd301528,10.969379278358563,9.648477059282383,0.07848142725210026,-0.2866778204076453,0.07504496117688664,-0.29196535685055186,115060.28860402097,29729.704453652434,0.35450860542077417,0.14631221226522917,0.13758820974710895,EOA,false,false
3,WBTC,0x77620648cf8210271582af06d45c99ecbbbbc919,10.459311312617166,9.689023730239569,0.8007450019517821,-1.0256186683848103,-0.2527808309529838,0.003965162002879446,100089.73018393172,35114.66663570648,0.40239242830021366,0.17751876186718546,0.15357675935010928,EOA,false,false
3,WBTC,0xdbe2d6cec8a1b449471bdfedcfb0f8418bb978f7,10.007447365140864,10.000221493122828,0.0,0.007225872018036682,0.0,0.011073580231013246,6718.026890432211,775.0703036145695,0.009598693827247142,0.016824565845283825,0.020672274058260387,Safe,true,true
3,WBTC,0xa47ea465353828cb47a1c7f50e9991e1762089dd,9.994537140468635,9.994537140468635,0.0,0.005684352654190392,0.0,0.0038646458204658575,3483.466234243063,423.0713700942674,0.005670373152206537,0.011354725806396928,0.009535018972672393,Safe,true,true
3,WBTC,0x0315840bd98a8279838a7ad799adde5dda1fceba,8.733841120404833,8.306326381599472,0.35073103835533115,0.0,0.27432188087449016,0.0,0.0,0.0,0.0,0.35073103835533115,0.27432188087449016,Other,false,true
3,WBTC,0x42d3076bbf75fd01a7a43cc9c08f50defb4541cc,8.52711041703062,8.527110417030618,0.0,-0.021125858030985347,0.0,-0.02475021221474098,39817.459680717264,18034.572567708077,0.19462354189486927,0.17349768386388392,0.1698733296801283,EOA,false,false
3,WBTC,0x278108b227fc6890361bbd91c7416c51fb756ab2,8.509988947196291,8.44420691888684,0.0558781668727869,-0.021862049622985442,0.051599395143889136,-0.020548202179856742,60106.773955568795,25780.15034423779,0.28057524029329417,0.31459135754309564,0.3116264332573266,EOA,false,false
3,WBTC,0x1ddf5f440b9f98b162783d2829a710a8bc330c02,6.699107063065726,0.13302973719231087,-0.010722832613712228,0.0,0.0043073759721760875,0.0,0.0,0.0,0.0,-0.010722832613712228,0.0043073759721760875,EOA,false,false
3,WBTC,0x8d06f1d53a8ce5e278c18fedab702d3cbb6dd93f,6.571478079291228,3.750381386479961,0.0475958484915781,-0.0017030325287765043,0.04130500210419534,0.001151251894548682,19927.63758127724,9252.62676284184,0.10435718898097653,0.15025000494377813,0.14681344297972054,Other,false,true
3,WBTC,0x8c6439fc4b3b0265d52d3b05620bf3e00726ed99,6.414718818086003,6.174979733531028,0.23973908455497525,0.0,0.238850385508319,0.0,0.0,0.0,0.0,0.23973908455497525,0.238850385508319,EOA,false,false
