user,btc_blocks,fraction
0x196a2a9a22c2fd8f5107e97df9ad14a23e81982b,336479029.0962783,0.11858798319386982
0x8a25d8c9fa8c7a726137f2d618d85cbc2c083f78,246982644.9893885,0.08704605999323206
0xeabd4a433d9bd08ddbb086503b18bbe2dd51a414,147826693.57431477,0.05209973857889404
0xa79a356b01ef805b3089b4fe67447b96c7e6dd4c,118758434.9580203,0.041854980759892364
0x7de2181413be517de5002647a362291c3a12b993,118489669.79145156,0.04176025771239144
0x924cafec4f967be5df085ad94d8d50574f9a2bb0,108445318.91865142,0.0382202471634543
0x63e328e7808c34a2edbda15a2b4ff68afd89d8e7,81578706.77317873,0.028751433139172583
0x0d6b672feab312ce817b689c94e87ba4f0eb56d2,62646756.833997026,0.022079095290229066
0x183d0567c33e7591c22540e45d2f74730b42a0ca,58168588.56457317,0.020500818792879204
0x160f6ef9fcdde6ff3febc7a57edbfd476a8aab5b,48626214.12280053,0.017137723794151204
0x7954536c96efa3f6634b482031ada8e46a43339c,48348616.91572646,0.01703988800029629
0xe374830fccee243f51905e0f7f9de74ca4fc9f1c,39126763.166442774,0.013789756661134996
0xc0778aa3961508c53fa39ddb789fa78c8dd87587,38923478.39068372,0.013718111389107102
0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,38868234.52387704,0.013698641353289328
0xb89ad8f6bcebd8d3c3cff4fee94aeb3da0ef6efd,34441348.92418148,0.012138438815532756
0xb24d671f0c7bef757412897ef60013040185c6fa,33362858.85218669,0.011758337972767072
0x7421c1ed16b400e4868ce696452c3c985f8cd04d,32636232.793092623,0.0115022473655292
0x325228217e02e31529bf4bc6e32db695ea525669,31802110.866248734,0.011208271133762621
0x49db86cd04a63649ef9f9905963baef7dad0c9bc,30713349.36417767,0.01082455024911637
0xc41dc060fe9bea2b83550b23b3773906add59083,26650818.538799025,0.009392760165382116
0xff43c5727fbfc31cb96e605dfd7546eb8862064c,21833563.133334517,0.007694976488942822
0x11c34d9c67162dd21273e8844c831f7b182026a6,21594871.20421673,0.007610852391953011
0x1b72bac3772050fdcaf468cce7e20deb3cb02d89,21099433.118957683,0.0074362412029998605
0x0315840bd98a8279838a7ad799adde5dda1fceba,20209365.13191413,0.007122547455807312
0x5cf7f7b06faaa6b7a49b56736c09ff2598bfb434,19667554.664604843,0.0069315928790418405
0x9e406b2c2021966f3983e899643609c45e3bbffe,17438981.010215044,0.006146158922628889
0xebaf493dfd35c0f535f19c2695fcce7008239047,17100646.77452962,0.006026917094206074
0xb282081b2681ba4eb2899c2722eeef0a98515b98,16308366.673270486,0.005747687510165423
0x96a98d05449672a06ff621b9af12f20f61c2330b,15468427.27992234,0.005451660982361403
0x278108b227fc6890361bbd91c7416c51fb756ab2,14452235.372881044,0.005093516377874096
0x5bdf2df91ca26331e718ae3ac7cdba360ee6b950,14105332.370566,0.004971254590805434
0xf791da446d04282f921f38fbf954ad5caee899a3,14056730.505377065,0.004954125448499906
0x14d239adc0d429a4417db252eb1aad86c9500a3e,13852419.211804658,0.004882118392626151
0xbac9e526624b337b823b116c3832ad54ac25171e,13312339.899084795,0.00469177394045569
0xca686974913389d42f3c5f61010503daccdb487a,12966662.911613211,0.004569944247559559
0x8d06f1d53a8ce5e278c18fedab702d3cbb6dd93f,12811559.100170232,0.004515279776391455
0x77620648cf8210271582af06d45c99ecbbbbc919,12349710.015128816,0.004352506626212981
0x42d3076bbf75fd01a7a43cc9c08f50defb4541cc,12348955.155564778,0.004352240585046806
0xb6426fe150a197b790d86585132dab718dc19052,12343216.923895424,0.004350218214373081
0x3df8669d6350dbb256bb4972d6c6f86efd301528,12323695.865653716,0.004343338252394732
0x6cc77f8e4a0fa764fc676315038546c1175b9c2f,12254972.456615346,0.004319117514187194
0xc66cfef708f49f4171dc764b25f307e770e19917,12108673.277851654,0.004267556129814733
0x282742940ee0b7ed028bb48052bb4922282234da,11680495.657594716,0.004116650082054794
0x2b6d91d5c378f3ffbeef113a5ddcb98b5fac1119,11015982.021440271,0.0038824502505585127
0xa93dfc2b32715c5809fd14c347a8cd123e74c2e7,10905936.960129058,0.003843666193446863
0x8ed20f3e2374c80cc4c12d3c682f055a8854c2c4,10391461.167037074,0.003662345393548252
0x39a5d1a636bade0ce8db69fa5aebfbe203c3ead2,10366187.781161482,0.00365343809294317
0xd83d992a7e9d0f87b64d151a843f16fc74c6c319,10029224.809483066,0.0035346795500120366
0xbd9735586542bda865a3197ba5aa1325e1c8f31a,9245676.99139708,0.0032585275540545503
0xf2e2e51365489142228bc51e1c8fa1631ea9963f,8989022.793283837,0.003168072871591173
0x392e9b275f2dc9b7b1c8b8e9820ebcd9913af93c,8677120.932342468,0.0030581468154479586
0xab9b533dfad86fe5508c2a74a1a806fce8b723cd,8560550.775735158,0.0030170630670497815
0x9139c7ca4486a6a8e5c1bcdd18af6e55133bac15,7976308.068064121,0.002811153757977776
0x8c6439fc4b3b0265d52d3b05620bf3e00726ed99,7860743.025805266,0.0027704242500319162
0x05391a4b0749c29335024f41552a56cfa6bd3883,7822598.152061531,0.0027569805484776067
0x5d1124fb77c539ec92e3ef853053bbce1e98271b,7501825.024663341,0.0026439279212660096
